text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: How does the compiler handle inline functions?
A: The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.",0,unknown,Negative,Positive,Positive,Positive,unknown,Negative,Positive
"Q: What does the star (*) operator return?
A: The star operator returns a synonym for the object to which its pointer operand points.",1,Positive,unknown,unknown,Positive,Positive,unknown,Negative,Positive
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: A string contains a null character at the end of the string, which makes it easily possible to get the string length. A char array can have a virtually unlimited length, therefore, its size must be declared/limited.",1,Negative,Negative,Negative,Negative,unknown,Negative,Negative,Positive
"Q: When does C++ create a default constructor?
A: When a class does not explicitly include a constructor.",1,Positive,unknown,Positive,Positive,Positive,unknown,Negative,Positive
"Q: Where are variables declared in a C++ program?
A: In the Function main() before using the variable.",0,Negative,Negative,unknown,Negative,Positive,Negative,Negative,Positive
"Q: What is the difference between an array declared as static, and one that is not?
A: Arrays that are static remain the same size throughout the program execution.",1,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Positive
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: The run time for this sorting program is n^2.  Best case is the list is already sorted, worst case is the list is sorted but in reverse.",1,Negative,Negative,unknown,Negative,unknown,Negative,Negative,unknown
"Q: How can you implement a stack with a list?
A: you implement a stack with a list by changing the pointer to the first element of the list to the new item and move the pointer from the top of the stack to the next item when removing an item.",1,Positive,unknown,unknown,unknown,Positive,unknown,Negative,Positive
"Q: What is the main advantage of linked lists over arrays?
A: They grow as needed, while arrays are of fixed size.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: When you read a string of characters, you also read in the white space.  When you read characters declared char you only read the characters, no white space.",0,Negative,Negative,unknown,Negative,Negative,Negative,Negative,Positive
"Q: What is a recursive function?
A: A recursive function is a function that calls itself repeatedly until a base case is achieved. The fundamental idea is to break one large problem into a series of smaller, similar problems.",1,Positive,Positive,Positive,Positive,Positive,Positive,unknown,Positive
"Q: Where do C++ programs begin to execute?
A: In the Main function..?",1,Positive,Positive,Positive,unknown,Positive,Positive,Negative,Positive
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: running the input with various inputs measuring the running time with  system time",1,Positive,Positive,Positive,unknown,Positive,Positive,unknown,Positive
"Q: What is the main advantage of linked lists over arrays?
A: Linked lists have constant time insertion and deletion",1,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How do you delete a node from a binary search tree?
A: If you delete a node from a tree, you have to link that nodes parents to the children of that node.",0,Negative,Negative,unknown,Negative,unknown,Negative,Negative,Positive
"Q: In one sentence, what is the main idea implemented by selection sort?
A: Find the smallest value in the list and make it the first element, then find the smallest value of the leftover list and make it the first element of the leftover list and continue until the list is sorted.",1,Positive,unknown,unknown,unknown,Positive,Positive,Negative,unknown
"Q: What does the address (&) operator return?
A: memory address of its operand",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
"Q: How are linked lists passed as arguments to a function?
A: A function with access to a linked list's head pointer has access to the entire list. Pass the head pointer to a function as a reference argument",1,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
"Q: What is a leaf?
A: A node with no children.",1,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
