dataset,data_type,function,model,score,concept_score,score_avg,score_fmted
essay,D,PLMs,bert-base-uncased,"[(0.6622807017543859, 0.6881061625898509)]",[],"(66.22807017543859, 68.81061625898509)",66.23/68.81
essay,D^,PLMs,bert-base-uncased,"[(0.6140350877192983, 0.6592331327832013)]",[],"(61.40350877192983, 65.92331327832012)",61.40/65.92
essay,D,PLMs,roberta-base,"[(0.6666666666666666, 0.631301850950906)]",[],"(66.66666666666666, 63.130185095090596)",66.67/63.13
essay,D^,PLMs,roberta-base,"[(0.6798245614035088, 0.7161184748905303)]",[],"(67.98245614035088, 71.61184748905302)",67.98/71.61
essay,D,CBE-PLMs,bert-base-uncased,"[(0.6271929824561403, 0.6762366883599903)]","[(0.6513157894736842, 0.6896260785208325)]","(62.71929824561403, 67.62366883599903)",62.72/67.62
essay,D^,CBE-PLMs,bert-base-uncased,"[(0.6359649122807017, 0.7248787714367153)]","[(0.6891447368421053, 0.7274102155687379)]","(63.59649122807017, 72.48787714367153)",63.60/72.49
essay,D,CBE-PLMs,roberta-base,"[(0.6798245614035088, 0.7064547802545467)]","[(0.6644736842105263, 0.7069485576112181)]","(67.98245614035088, 70.64547802545466)",67.98/70.65
essay,D^,CBE-PLMs,roberta-base,"[(0.6535087719298246, 0.6981806318889053)]","[(0.6354166666666666, 0.6803517495002457)]","(65.35087719298247, 69.81806318889053)",65.35/69.82
essay,D,CBE-PLMs-CM,bert-base-uncased,[],[],"(0.0, 0.0)",0.00/0.00
essay,D^,CBE-PLMs-CM,bert-base-uncased,[],[],"(0.0, 0.0)",0.00/0.00
essay,D,CBE-PLMs-CM,roberta-base,[],[],"(0.0, 0.0)",0.00/0.00
essay,D^,CBE-PLMs-CM,roberta-base,[],[],"(0.0, 0.0)",0.00/0.00
